obs_ID,study_ID,year,Ntot,es,var,meta_ID,note,abs_Eff,research_aim
obs_430,Vallee_et_al_1999,1999,27,-1.04,0.213,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.04,animal
obs_431,Vallee_et_al_1999,1999,27,0.71,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.71,animal
obs_432,Vallee_et_al_1999,1999,27,0.74,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.74,animal
obs_433,van_Horik_et_al_2019,2019,117,0.13,0.035,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.13,animal
obs_434,van_der_Staay_et_al_2017,2017,20,-0.18,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_435,van_der_Staay_et_al_2017,2017,20,0,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_436,Wang_et_al_2019,2019,44,0.65,0.096,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_437,Wang_et_al_2015,2015,32,-0.07,0.125,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_438,Wang_et_al_2015,2015,32,0.58,0.13,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.58,animal
obs_439,Wang_et_al_2015,2015,32,-0.92,0.138,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.92,animal
obs_440,Wang_et_al_2015,2015,32,-0.36,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.36,animal
obs_441,Wang_et_al_2015,2015,32,0.17,0.125,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.17,animal
obs_442,Wang_et_al_2015,2015,32,-0.87,0.137,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.87,animal
obs_443,Weiss_et_al_2001,2001,118,0.45,0.035,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_444,Weiss_et_al_2001,2001,118,-0.17,0.034,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.17,animal
obs_445,Weiss_et_al_2001,2001,118,-0.02,0.034,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_446,Williams_et_al_2001,2001,21,0.99,0.214,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.99,animal
obs_447,Williams_et_al_2001,2001,20,-1.27,0.243,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.27,animal
obs_448,Williams_et_al_2001,2001,21,0,0.191,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_449,Williams_et_al_2001,2001,20,0.13,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.13,animal
obs_450,Williams_et_al_2001,2001,21,0.55,0.198,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.55,animal
obs_451,Wongwitdecha_Marsden_1996,1996,24,-0.8,0.18,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.8,animal
obs_452,Wongwitdecha_Marsden_1996,1996,24,-0.57,0.173,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.57,animal
obs_453,Wood_Greenough_1974,1974,32,-0.36,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.36,animal
obs_454,Wood_Greenough_1974,1974,32,0.38,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.38,animal
obs_455,Wood_Greenough_1974,1974,32,-0.29,0.126,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_456,Wood_Greenough_1974,1974,32,1.82,0.177,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.82,animal
obs_457,Workman_et_al_2009,2009,14,1.14,0.332,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.14,animal
obs_458,Workman_et_al_2009,2009,18,-1.81,0.313,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.81,animal
obs_459,Workman_et_al_2009,2009,14,0.98,0.32,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.98,animal
obs_460,Workman_et_al_2009,2009,18,-1.04,0.252,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.04,animal
obs_461,Yasumuro_Ikeda_2018,2018,15,0.2,0.269,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_462,Yasumuro_Ikeda_2018,2018,15,-0.65,0.282,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_463,Yasumuro_Ikeda_2018,2018,15,0.43,0.274,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_464,Yasumuro_Ikeda_2018,2018,17,-0.6,0.247,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.6,animal
obs_465,Yasumuro_Ikeda_2018,2018,15,-0.54,0.278,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.54,animal
obs_466,Yasumuro_Ikeda_2018,2018,16,0.59,0.261,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.59,animal
obs_467,Yasumuro_Ikeda_2018,2018,17,-0.43,0.242,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_468,Yasumuro_Ikeda_2018,2018,16,-0.55,0.259,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.55,animal
obs_469,Yasumuro_Ikeda_2018,2018,16,0.39,0.255,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_470,Yasumuro_Ikeda_2018,2018,11,-0.73,0.391,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.73,animal
obs_471,Yasumuro_Ikeda_2018,2018,10,-0.44,0.426,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_472,Yasumuro_Ikeda_2018,2018,12,0.65,0.351,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_473,Zeeb_et_al_2013,2013,24,-0.43,0.191,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_474,Zeeb_et_al_2013,2013,16,0.94,0.278,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.94,animal
obs_475,Zeleznikow-Johnston_et_al_2017,2017,24,-0.11,0.167,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_476,Zeleznikow-Johnston_et_al_2017,2017,24,0.35,0.169,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.35,animal
obs_477,Zeleznikow-Johnston_et_al_2017,2017,22,0.19,0.184,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.19,animal
obs_478,Zeleznikow-Johnston_et_al_2017,2017,19,-0.04,0.211,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.04,animal
obs_479,Zeleznikow-Johnston_et_al_2017,2017,20,0.3,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_480,Zeleznikow-Johnston_et_al_2017,2017,20,0.61,0.211,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.61,animal
obs_481,Zeleznikow-Johnston_et_al_2017,2017,20,0.23,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.23,animal
obs_482,Zeleznikow-Johnston_et_al_2017,2017,20,0.52,0.209,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.52,animal
obs_483,Zeleznikow-Johnston_et_al_2017,2017,20,0.31,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.31,animal
obs_484,Zhang_et_al_2016,2016,20,0.41,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_485,Zhang_et_al_2016,2016,20,-0.44,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_486,Zhang_et_al_2016,2016,20,0.17,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.17,animal
obs_487,Zhang_et_al_2016,2016,20,-0.02,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_488,Zhang_et_al_2016,2016,20,-0.09,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.09,animal
obs_489,Zhang_et_al_2016,2016,20,-0.22,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_490,Zhang_et_al_2016,2016,20,-0.44,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_491,Zhang_et_al_2016,2016,20,0.66,0.211,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.66,animal
obs_492,Zhang_et_al_2016,2016,20,0.19,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.19,animal
obs_493,Zhang_et_al_2016,2016,20,-0.13,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.13,animal
obs_494,Zhang_et_al_2016,2016,20,0.4,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.4,animal
obs_495,Zhang_et_al_2016,2016,20,0.27,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.27,animal
obs_496,Zhang_et_al_2016,2016,20,0.62,0.21,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.62,animal
obs_497,Zhang_et_al_2016,2016,20,1,0.225,ma08_01,the_authors_used_abs_eff_in_their_analysis,1,animal
obs_498,Zhang_et_al_2016,2016,20,0.32,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_499,Zhang_et_al_2016,2016,20,0.85,0.218,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.85,animal
obs_500,Zhang_et_al_2016,2016,20,-0.48,0.206,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.48,animal
obs_501,Zhang_et_al_2016,2016,20,0.43,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_502,Zhang_et_al_2016,2016,20,2.3,0.332,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.3,animal
obs_503,Zhang_et_al_2016,2016,20,0.9,0.22,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.9,animal
obs_504,Zhang_et_al_2016,2016,20,0.07,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_505,Zhang_et_al_2016,2016,20,0.41,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_506,Zhang_et_al_2016,2016,20,0.29,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_507,Zhang_et_al_2016,2016,20,0.18,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_508,Zhang_et_al_2016,2016,20,0.68,0.212,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.68,animal
obs_509,Zhang_et_al_2016,2016,20,0.75,0.214,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.75,animal
obs_510,Zhang_et_al_2016,2016,20,0.23,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.23,animal
obs_511,Zhang_et_al_2016,2016,20,0.3,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_512,Zhang_et_al_2016,2016,20,1.28,0.241,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.28,animal
obs_513,Zhang_et_al_2016,2016,20,0.09,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.09,animal
obs_514,Zhang_et_al_2016,2016,20,-0.3,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_515,Zhang_et_al_2016,2016,20,0.22,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_516,Zhang_et_al_2016,2016,20,-0.03,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.03,animal
obs_517,Zhang_et_al_2016,2016,20,-0.53,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_518,Zhang_et_al_2016,2016,20,-0.29,0.202,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_519,Zhang_et_al_2016,2016,20,-0.55,0.208,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.55,animal
obs_520,Zhang_et_al_2016,2016,20,-0.51,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.51,animal
obs_521,Zhang_et_al_2016,2016,20,-0.39,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_522,Zhang_et_al_2016,2016,20,-0.44,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_523,Zhang_et_al_2016,2016,20,-0.53,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_524,Zhang_et_al_2016,2016,20,-0.66,0.211,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.66,animal
obs_525,Zhang_et_al_2016,2016,20,-0.06,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_526,Zhang_et_al_2016,2016,20,-0.52,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.52,animal
obs_527,Zhang_et_al_2016,2016,20,-0.54,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.54,animal
obs_528,Zhang_et_al_2016,2016,20,0.37,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.37,animal
obs_529,Zhang_Cai_2008,2008,21,-0.59,0.223,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.59,animal
obs_530,Zhang_Cai_2008,2008,20,0.01,0.22,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.01,animal
obs_531,Zhang_Cai_2008,2008,20,1.24,0.258,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.24,animal
