"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA47_1,65,1.1,1.4619,1.445,-1.2,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA43,13,0.2,1.4619,1.4456,-1.1,7
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA05_01,17,0.3,1.4619,1.4459,-1.1,8
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA41_02,184,3.2,1.4619,1.4462,-1.1,9
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA21,11,0.2,1.4619,1.4489,-0.9,10
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA45_01,28,0.5,1.4619,1.4737,0.8,11
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA01_03,16,0.3,1.4619,1.4737,0.8,12
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA01_01,22,0.4,1.4619,1.4737,0.8,13
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA28_01,84,1.5,1.4619,1.4737,0.8,14
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA01_02,14,0.2,1.4619,1.4737,0.8,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA28_02,84,1.5,1.4619,1.4737,0.8,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA08,531,9.3,1.4619,1.4737,0.8,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA14_02,167,2.9,1.4619,1.4737,0.8,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA31,734,12.8,1.4619,1.4737,0.8,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA15_02,9,0.2,1.4619,1.4737,0.8,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA18,23,0.4,1.4619,1.4737,0.8,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA24,139,2.4,1.4619,1.4737,0.8,22
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA32,13,0.2,1.4619,1.4737,0.8,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA47_2,38,0.7,1.4619,1.4736,0.8,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA14_01,104,1.8,1.4619,1.4735,0.8,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA45_02,11,0.2,1.4619,1.4735,0.8,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA15_03,11,0.2,1.4619,1.4734,0.8,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA25,43,0.7,1.4619,1.4733,0.8,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA23,24,0.4,1.4619,1.4733,0.8,29
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA06_02,13,0.2,1.4619,1.4729,0.8,30
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA13_03,14,0.2,1.4619,1.4728,0.7,31
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA41_04,104,1.8,1.4619,1.4726,0.7,32
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA41_03,129,2.2,1.4619,1.4713,0.6,33
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA17,66,1.1,1.4619,1.4527,-0.6,34
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA26,459,8,1.4619,1.4706,0.6,35
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA34,555,9.7,1.4619,1.4704,0.6,36
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA15_04,11,0.2,1.4619,1.4535,-0.6,37
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA10,32,0.6,1.4619,1.47,0.6,38
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA13_01,43,0.7,1.4619,1.4697,0.5,39
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA41_01,110,1.9,1.4619,1.4691,0.5,40
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA22_03,92,1.6,1.4619,1.4567,-0.4,41
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA13_02,37,0.6,1.4619,1.4664,0.3,42
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA05_03,4,0.1,1.4619,1.4661,0.3,43
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA05_02,16,0.3,1.4619,1.466,0.3,44
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA15_01,5,0.1,1.4619,1.4648,0.2,45
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA06_01,33,0.6,1.4619,1.4593,-0.2,46
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA12,70,1.2,1.4619,1.4637,0.1,47
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA22_01,92,1.6,1.4619,1.4614,0,48
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA22_02,92,1.6,0.0049,0.0032,-34.6,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA39_2,15,0.3,0.0049,0.0038,-21.8,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA39_1,37,0.6,0.0049,0.0044,-10.4,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA20_cleaned,29,0.5,0.0049,0.0046,-6,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA09,1297,22.6,0.0049,0.0046,-4.9,5
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA01_01,22,0.4,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA01_02,14,0.2,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA01_03,16,0.3,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA08,531,9.3,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA28_01,84,1.5,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA28_02,84,1.5,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA31,734,12.8,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA14_02,167,2.9,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA45_01,28,0.5,0.0049,0.005,2.3,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA15_02,9,0.2,0.0049,0.005,2.3,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA18,23,0.4,0.0049,0.005,2.3,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA24,139,2.4,0.0049,0.005,2.3,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA32,13,0.2,0.0049,0.005,2.3,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA47_2,38,0.7,0.0049,0.005,2.3,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA14_01,104,1.8,0.0049,0.005,2.3,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA45_02,11,0.2,0.0049,0.005,2.3,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA15_03,11,0.2,0.0049,0.005,2.3,22
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA25,43,0.7,0.0049,0.005,2.3,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA23,24,0.4,0.0049,0.005,2.3,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA06_02,13,0.2,0.0049,0.005,2.3,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA13_03,14,0.2,0.0049,0.005,2.3,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA41_04,104,1.8,0.0049,0.005,2.3,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA41_03,129,2.2,0.0049,0.005,2.3,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA26,459,8,0.0049,0.005,2.3,29
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA34,555,9.7,0.0049,0.005,2.3,30
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA10,32,0.6,0.0049,0.005,2.3,31
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA13_01,43,0.7,0.0049,0.005,2.3,32
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA41_01,110,1.9,0.0049,0.005,2.3,33
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA13_02,37,0.6,0.0049,0.005,2.3,34
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA05_03,4,0.1,0.0049,0.005,2.3,35
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA05_02,16,0.3,0.0049,0.005,2.3,36
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA15_01,5,0.1,0.0049,0.005,2.3,37
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA12,70,1.2,0.0049,0.005,2.3,38
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA22_01,92,1.6,0.0049,0.005,2.2,39
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA06_01,33,0.6,0.0049,0.005,2.1,40
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA47_1,65,1.1,0.0049,0.0048,-1.9,41
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA22_03,92,1.6,0.0049,0.0049,1.9,42
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA43,13,0.2,0.0049,0.0048,-1.6,43
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA05_01,17,0.3,0.0049,0.0048,-1.4,44
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA15_04,11,0.2,0.0049,0.0049,1.4,45
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA41_02,184,3.2,0.0049,0.0048,-1.3,46
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA17,66,1.1,0.0049,0.0049,1.3,47
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type S error,MA21,11,0.2,0.0049,0.0049,0,48
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA41_02,184,3.2,0.488,0.5118,4.9,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA09,1297,22.6,0.488,0.5104,4.6,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA21,11,0.2,0.488,0.5101,4.5,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA05_01,17,0.3,0.488,0.5074,4,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA39_2,15,0.3,0.488,0.5064,3.8,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA22_02,92,1.6,0.488,0.5044,3.4,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA47_1,65,1.1,0.488,0.5042,3.3,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA43,13,0.2,0.488,0.5039,3.3,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA20_cleaned,29,0.5,0.488,0.501,2.7,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA06_01,33,0.6,0.488,0.5008,2.6,10
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA22_01,92,1.6,0.488,0.5003,2.5,11
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA45_01,28,0.5,0.488,0.4806,-1.5,12
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA01_01,22,0.4,0.488,0.4806,-1.5,13
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA14_02,167,2.9,0.488,0.4806,-1.5,14
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA01_03,16,0.3,0.488,0.4806,-1.5,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA15_02,9,0.2,0.488,0.4806,-1.5,16
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA01_02,14,0.2,0.488,0.4806,-1.5,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA34,555,9.7,0.488,0.4806,-1.5,18
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA08,531,9.3,0.488,0.4806,-1.5,19
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA28_01,84,1.5,0.488,0.4806,-1.5,20
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA28_02,84,1.5,0.488,0.4806,-1.5,21
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA18,23,0.4,0.488,0.4806,-1.5,22
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA32,13,0.2,0.488,0.4806,-1.5,23
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA15_03,11,0.2,0.488,0.4806,-1.5,24
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA47_2,38,0.7,0.488,0.4806,-1.5,25
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA24,139,2.4,0.488,0.4806,-1.5,26
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA26,459,8,0.488,0.4807,-1.5,27
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA31,734,12.8,0.488,0.4807,-1.5,28
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA22_03,92,1.6,0.488,0.4953,1.5,29
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA45_02,11,0.2,0.488,0.4807,-1.5,30
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA14_01,104,1.8,0.488,0.4807,-1.5,31
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA23,24,0.4,0.488,0.4808,-1.5,32
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA25,43,0.7,0.488,0.4812,-1.4,33
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA39_1,37,0.6,0.488,0.4947,1.4,34
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA13_03,14,0.2,0.488,0.4813,-1.4,35
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA06_02,13,0.2,0.488,0.4817,-1.3,36
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA15_01,5,0.1,0.488,0.4821,-1.2,37
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA15_04,11,0.2,0.488,0.4824,-1.1,38
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA41_03,129,2.2,0.488,0.4826,-1.1,39
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA10,32,0.6,0.488,0.4829,-1,40
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA13_01,43,0.7,0.488,0.4831,-1,41
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA12,70,1.2,0.488,0.4836,-0.9,42
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA41_04,104,1.8,0.488,0.4837,-0.9,43
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA41_01,110,1.9,0.488,0.4916,0.7,44
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA05_03,4,0.1,0.488,0.4856,-0.5,45
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA17,66,1.1,0.488,0.4901,0.4,46
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA13_02,37,0.6,0.488,0.4864,-0.3,47
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Statistical power,MA05_02,16,0.3,0.488,0.487,-0.2,48
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA41_02,184,3.2,1.5548,1.4744,-5.2,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA09,1297,22.6,1.5548,1.4996,-3.5,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA21,11,0.2,1.5548,1.5029,-3.3,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA05_01,17,0.3,1.5548,1.5175,-2.4,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA39_2,15,0.3,1.5548,1.5211,-2.2,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA22_02,92,1.6,1.5548,1.5271,-1.8,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA47_1,65,1.1,1.5548,1.5277,-1.7,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA43,13,0.2,1.5548,1.5285,-1.7,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA20_cleaned,29,0.5,1.5548,1.5352,-1.3,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA06_01,33,0.6,1.5548,1.5357,-1.2,10
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA22_01,92,1.6,1.5548,1.5368,-1.2,11
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA45_01,28,0.5,1.5548,1.5694,0.9,12
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA01_01,22,0.4,1.5548,1.5694,0.9,13
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA14_02,167,2.9,1.5548,1.5694,0.9,14
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA01_03,16,0.3,1.5548,1.5694,0.9,15
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA15_02,9,0.2,1.5548,1.5694,0.9,16
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA01_02,14,0.2,1.5548,1.5694,0.9,17
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA34,555,9.7,1.5548,1.5694,0.9,18
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA08,531,9.3,1.5548,1.5694,0.9,19
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA28_01,84,1.5,1.5548,1.5694,0.9,20
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA28_02,84,1.5,1.5548,1.5694,0.9,21
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA18,23,0.4,1.5548,1.5694,0.9,22
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA32,13,0.2,1.5548,1.5694,0.9,23
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA15_03,11,0.2,1.5548,1.5694,0.9,24
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA47_2,38,0.7,1.5548,1.5694,0.9,25
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA24,139,2.4,1.5548,1.5693,0.9,26
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA26,459,8,1.5548,1.5693,0.9,27
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA31,734,12.8,1.5548,1.5693,0.9,28
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA45_02,11,0.2,1.5548,1.5692,0.9,29
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA14_01,104,1.8,1.5548,1.5691,0.9,30
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA23,24,0.4,1.5548,1.5691,0.9,31
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA25,43,0.7,1.5548,1.5683,0.9,32
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA13_03,14,0.2,1.5548,1.5681,0.9,33
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA06_02,13,0.2,1.5548,1.5675,0.8,34
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA15_01,5,0.1,1.5548,1.5668,0.8,35
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA15_04,11,0.2,1.5548,1.5663,0.7,36
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA41_03,129,2.2,1.5548,1.5659,0.7,37
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA10,32,0.6,1.5548,1.5654,0.7,38
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA13_01,43,0.7,1.5548,1.5652,0.7,39
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA12,70,1.2,1.5548,1.5644,0.6,40
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA41_04,104,1.8,1.5548,1.5641,0.6,41
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA22_03,92,1.6,1.5548,1.5461,-0.6,42
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA39_1,37,0.6,1.5548,1.5471,-0.5,43
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA05_03,4,0.1,1.5548,1.5613,0.4,44
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA13_02,37,0.6,1.5548,1.56,0.3,45
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA05_02,16,0.3,1.5548,1.5592,0.3,46
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA41_01,110,1.9,1.5548,1.552,-0.2,47
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type M error,MA17,66,1.1,1.5548,1.5545,0,48
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA41_02,184,3.2,0.0088,0.0071,-19.4,1
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA09,1297,22.6,0.0088,0.0074,-15.7,2
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA21,11,0.2,0.0088,0.0075,-14.9,3
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA05_01,17,0.3,0.0088,0.0079,-10,4
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA39_2,15,0.3,0.0088,0.008,-8.4,5
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA22_02,92,1.6,0.0088,0.0083,-5.5,6
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA47_1,65,1.1,0.0088,0.0083,-5.2,7
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA43,13,0.2,0.0088,0.0084,-4.8,8
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA01_01,22,0.4,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA01_02,14,0.2,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA01_03,16,0.3,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA08,531,9.3,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA15_02,9,0.2,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA28_01,84,1.5,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA28_02,84,1.5,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA14_02,167,2.9,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA34,555,9.7,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA45_01,28,0.5,0.0088,0.009,2.5,9
Yang 2024 bias-robust (UWLS),Each meta-analysis weighted equally,Type S error,MA32,13,0.2,0.0088,0.009,2.5,19
